Passage,Min Value,Max Value,Average Value,Standard Deviation,Speaker/Listener
1,1.00,2.00,1.40,0.55,low to low
2,1.00,4.00,2.00,1.22,low to low
3,1.00,4.00,2.20,1.30,low to low
4,1.00,2.00,1.60,0.55,low to low
5,1.00,4.00,2.20,1.30,low to low
6,1.00,3.00,1.75,0.96,low to low
7,1.00,4.00,1.80,1.30,low to low
8,2.00,4.00,2.60,0.89,low to low
9,2.00,4.00,2.80,0.84,low to low
10,3.00,4.00,3.40,0.55,low to low
11,1.00,4.00,3.00,1.22,low to low
12,1.00,3.00,1.80,0.84,low to low
13,1.00,1.00,1.00,0.00,high to high
14,1.00,3.00,1.80,0.84,high to high
15,1.00,4.00,2.20,1.64,high to high
16,1.00,3.00,1.80,0.84,high to high
17,1.00,4.00,2.20,1.30,high to high
18,1.00,4.00,1.80,1.30,high to high
19,1.00,2.00,1.20,0.45,high to high
20,1.00,1.00,1.00,0.00,high to high
21,1.00,4.00,1.60,1.34,high to high
22,1.00,3.00,1.60,0.89,high to high
23,1.00,2.00,1.20,0.45,high to high
24,1.00,4.00,1.60,1.34,high to high
25,1.00,3.00,1.80,0.84,high to high
26,1.00,3.00,1.80,1.10,high to high
27,1.00,3.00,1.60,0.89,high to high
28,1.00,3.00,2.00,0.71,high to high
29,1.00,4.00,1.80,1.30,high to high
30,1.00,4.00,2.20,1.30,high to high
31,1.00,4.00,1.60,1.34,high to high
32,1.00,4.00,1.60,1.34,high to high
33,1.00,3.00,1.40,0.89,high to high
34,1.00,4.00,1.60,1.34,high to high
35,1.00,1.00,1.00,0.00,high to high
36,1.00,3.00,1.80,0.84,high to high
37,1.00,4.00,1.80,1.30,high to high
38,1.00,2.00,1.20,0.45,high to low
39,1.00,1.00,1.00,0.00,low to high
40,1.00,4.00,2.00,1.41,high to low
41,1.00,3.00,1.80,0.84,high to low
42,1.00,3.00,1.60,0.89,high to low
43,1.00,4.00,2.20,1.30,high to low
44,1.00,4.00,1.80,1.30,high to low
45,2.00,4.00,2.80,0.84,low to high
46,1.00,4.00,1.80,1.30,high to low
47,1.00,4.00,2.80,1.30,high to low
48,1.00,2.00,1.20,0.45,high to low
49,1.00,4.00,2.40,1.52,high to low
50,1.00,4.00,2.00,1.41,high to low
51,1.00,4.00,1.80,1.30,high to low
52,1.00,1.00,1.00,0.00,high to low
